Policy_Size,KeyGen_ms,VerifyKey_ms,Encrypt_ms,VerifyCiphertext_ms,KeyVerify_Overhead,CiphertextVerify_Overhead,Total_VABE_Overhead,Verification_Percentage
10,20.61,37.23,46.63,36.25,1.8064046579330422,0.7773965258417327,1.8812664907651713,46.84431977559606
20,6.46,36.67,60.74,68.61,5.676470588235294,1.1295686532762594,2.283902439024391,56.21529260999573
50,10.24,84.84,164.82,164.97,8.28515625,1.000910083727703,2.081381758365439,51.95499355268084
100,16.05,165.47,314.69,328.01,10.309657320872274,1.042327369792494,2.374021996380342,57.877391130971226
1000,118.04,1611.82,3251.58,3254.34,13.654862758386987,1.0008488181130404,2.3966923646550287,58.27582985837498
2000,243.37,3190.85,6366.38,6629.32,13.111106545589019,1.041301336081101,2.409259333670095,58.493467846125526
5000,591.65,8006.73,16031.69,16403.74,13.532882616411728,1.023207160318095,2.4351164650134627,58.93420235263896
10000,1162.91,16069.03,32275.08,32885.08,13.817948078527143,1.0189000306118527,2.3865187875224354,58.0979623865375
20000,2450.28,34833.3,65501.49,66765.65,14.216048778098829,1.0192997136401019,2.4343555999106057,58.92136711511162
50000,6222.9,81855.22,161534.86,167517.4,13.153870381976251,1.0370355971460279,2.4732035960511918,59.566612243462814
100000,13021.96,166391.43,322792.65,338243.76,12.777756190312363,1.0478669821013582,2.4745831415354704,59.58915329151141
